TWEET,COMMENTS,LIKES,RETWEETS
"I am ready to fight for you and for our nation. Every day. Without exception, without reservation. And with a full and devoted heart.",10.4K,94.5K,15K
We need a president who will unite our country and bring out our best — not one who stokes division and brings out our worst.,9.7K,111.2K,17.1K
"Folks, we're just a few days away from our final public fundraising deadline, and we need your help to hit our goal.  Every donation — big or small — makes a big difference during these final weeks.  If you're able, please chip in:",1.5K,6.6K,1.8K
"On National Farmers Day, we honor the hardworking men and women who drive our economy, fuel our rural communities, and nourish our nation. A Biden-Harris administration will work every day to restore the dignity our farmers deserve and help them build back better than before.",1.7K,21K,4.3K
"Today marks 22 years since Matthew Shepard passed away after a brutal anti-gay hate crime. Over two decades later, violence against LGBTQ+ Americans is at an all-time high. As president, I'll strengthen our hate crimes laws and make clear that bigotry has no place in America.",2.8K,117.7K,21.5K
"There's no question: we are neck and neck in Ohio — and with early voting underway and only 22 days until Election Day, there's no time to waste. Join us live from Cincinnati as we get out the vote:",1.5K,10.8K,2.9K
"Donald Trump is running TV ads taking Dr. Fauci out of context and without his permission.  So, here’s a message from the President in his own words.",6K,144.2K,51.2K
"GEORGIA VOTERS: Today, 10/12, is the first day to vote early in person! Go to http://iWillVote.com to find a location near you, and share the link with friends and family. #gapol   Not in GA? Go to http://iWillVote.com to find information about voting in your state.",288,4.2K,1.7K
"I'm in Toledo, Ohio, to discuss my plans to build the economy back better for working families. Tune in.",2.1K,14.8K,3.4K
"Listen up. It's time to vote! Go to http://IWillVote.com to find out how you can drop your ballot in the dropbox like it's hot, and make your voice heard. I'm voting for the first time come join me ",1.1K,20.8K,6.8K
Georgia — you don’t have to wait until November 3rd to cast your ballot. Early voting begins today.  Head to http://iwillvote.com/GA to find all the info you need.,1.9K,20.7K,5.6K
How it started:            How it's going:,4.5K,319.9K,26.9K
"On this Indigenous People’s Day, we must both recognize the past that has brought us here, and commit to one another to write a new future of promise, partnership, and equal opportunity for the proud Tribal Nations of our country.",2.9K,36.5K,8.1K
"Health care is deeply personal to me. And I guarantee you that if I'm elected president, I will protect your family's health care as if it were my own.",4.1K,66.2K,14.4K
"From Seneca Falls to Selma to Stonewall, we’re at our best when the promise of America is available to all.",5.4K,91.1K,13.1K
"Brayden — you have heart, courage, and maturity beyond your years. You have unlimited potential — and I can't wait to see what your future holds.",3.5K,129.2K,27.7K
"This election, you have the power to choose:  Hope over fear. Truth over lies. Unity over division.  Vote.",12.4K,60.3K,12.7K
"I helped pull this country out of a recession before — and, as president, I’ll do it again.",36.1K,453.3K,55.3K
"In January, I said President Trump was the worst possible leader to deal with a public health crisis. And everything we’ve been through in the months since has proven that to be true.",3.6K,41.5K,12K
"When President Trump was told one thousand Americans were dying every day from COVID-19, he shrugged it off and said, ""it is what it is.""  It is what it is?  This president doesn't even pretend to care about the Americans he swore to serve. It's disgraceful.",7.9K,148.3K,27.8K
"Today we join Polish-Americans in celebrating General Pulaski, whose heroism built the American cavalry and saved the life of George Washington. America will always stand with the Polish people against the common threats we face.",2.4K,45.4K,7K
"Today, let's all celebrate the one billion girls and young women around the world — and recommit to fight for their education, work, health, rights, and opportunities. A Biden-Harris administration will work to elevate their voices and ensure an equal future. #DayOfTheGirl",3K,85.3K,14.2K
"I want every member of the LGBTQ+ community to know you are loved and accepted just as you are — whether you've come out or not. I'll fight every day in the White House to create a country where you can live open, proud, and free — without fear. #NationalComingOutDay",8.4K,317.3K,60.1K
There is no excuse for President Trump’s reckless behavior.,5.2K,83.6K,26.3K
"I’m in Erie, Pennsylvania, to discuss my plans to build back better. Tune in.",3K,17.9K,3.7K
"We're eight months into this crisis, and this president still has no plan to rebuild our economy.  I do. I'll get America back to work — and build back better.  Here's how:",6K,29.6K,7.1K
"Let’s go vote, America.  http://iwillvote.com",16.6K,204.9K,32.1K
We need a president who understands hardworking Americans — not one who looks down on them.,22.7K,287.6K,36.8K
"What does building back better mean for you?  - Millions of new, good-paying jobs - A $15 federal minimum wage - Stronger benefits and fair workplaces - An economy that works for everyone—not just the wealthy - The choice to join a union  That's the future we can build together.",8.9K,55.9K,11.9K
"It’s going great.   If everyone joins me in giving at http://joebiden.com every time they say “lock her up” or “crooked” or “emails,” I bet we can fund Biden-Harris straight through to November 3rd.",10.5K,113.7K,21K
"If you're sick, struggling, or worried about how you're going to get through the day — know you are not alone.  We're all in this together. And together, we'll emerge stronger than before.",2.3K,31.1K,8.4K
To all my fellow Delawareans — today is your last day to register to vote. Head to http://iwillvote.com/DE to get registered today.,1.3K,17K,4.2K
"As a proud graduate of Howard University, I’m always excited to hear from HBCU students. We are family—no matter which school we call home, or where we pledged.",2.6K,50.2K,9.6K
"Over 213,000 Americans have died from this virus — and the hard truth is it didn’t have to happen this way.",3.4K,34.5K,9.5K
You and I can change the course of history.  Vote: http://iwillvote.com,5.6K,43.3K,8.9K
"40,000 people a day are coming down with the coronavirus. What is the matter with this guy?",9.4K,192.8K,45.2K
John — and farmers across the country — can’t afford four more years of a climate change denier in the White House.,2.1K,43.2K,10K
You are not alone.  We are stronger than we ever knew. We are resilient.,1.7K,40.2K,9.8K
"Congratulations to the UN World Food Program. With global hunger on the march, made worse by the pandemic and conflict around the world, we must come together to fight food insecurity. As president, I'll support the WFP and reassert American leadership to address global hunger.",1.3K,59.1K,9.3K
25 days. Let’s win this thing.,22.6K,651.4K,71.9K
"Good morning. 25 days to go. Let’s get this done, together→ http://iwillvote.com.",4.9K,133K,15.2K
"What we need in America is leadership that seeks to de-escalate tensions, to open lines of communication, and to bring us together. To heal — and to hope.  As president, that is precisely what I will do.",6.2K,108.1K,16.2K
"When Governor Whitmer worked to protect her state from a deadly pandemic, President Trump issued a call to ""LIBERATE MICHIGAN!""  That call was heard.  He's giving oxygen to the bigotry and hate we see on the march in our country — and we have to stop it.",15.3K,299.9K,59.6K
"Jill and I are keeping the Gulf Coast in our prayers tonight. If you’re in Hurricane Delta’s path, please heed the advice of local officials, take steps to prepare, and stay safe.",1.2K,27.2K,4.9K
"Time and time again, President Trump has refused to condemn white supremacy and stoked the flames of hate for political gain.  It’s a pattern — and America deserves better.",9.7K,31.5K,7.5K
". @CP3  and  @StephenCurry30  know exactly what it means to finish strong down the stretch. We’re in the closing days of this campaign, and it’s time to finish this fight and cast our ballots.   Don’t miss your shot: Register to vote today at http://iwillvote.com.",1.5K,22K,4.6K
"After last night, I just had to write a note about my friend and running mate,  @KamalaHarris .",2.2K,25.9K,4.8K
". @KamalaHarris  is right: If you have a pre-existing condition, the Trump Administration is coming for you.  Vote like your health care depends on it — because it does.  http://iwillvote.com",2.3K,30.1K,6.8K
"Last night,  @KamalaHarris  chose truth over lies.  She chose hope and unity over fear and division.  She showed America what true leadership looks like — and I couldn't be prouder.",7.8K,115.2K,14.6K
. @JoeBiden  great to be with you back home last week in NC!!  @stephencurry30  missed you but you know what had to stop by your gym! The election of our lifetime. Vote for  @joebiden  and  @kamalaharris !! http://iwillvote.com,618,12.4K,2.5K
Last night  @KamalaHarris  showed America exactly why she’ll make an incredible Vice President.,5K,101.3K,17.2K
Swats away flies and lies. Get yours today: https://store.joebiden.com/truth-over-flies-fly-swatter/…,4.1K,78.9K,21K
". @KamalaHarris , you made us all proud tonight.",28.5K,1.1M,101K
http://flywillvote.com.,14.2K,456.1K,121.3K
This is a pattern. He refused to condemn white supremacists—and then he doubled down.,6.3K,88.9K,18.4K
Pitch in $5 to help this campaign fly. https://joe.link/3nvsFwL,26.1K,911.2K,273.7K
"Donald Trump has made hate, division, and dog whistles central to his campaign from the very beginning – and last week he couldn't even condemn white supremacists. It’s a pattern.",4.6K,157.8K,22.6K
"Just last week, Donald Trump stood on a debate stage and refused to condemn white supremacists.  This isn’t the first time he’s been an apologist for racists. This is a pattern. When someone shows you who they are, believe them the first time.",3.9K,76.7K,14.7K
Donald Trump has betrayed our friends and embraced dictators around the world.,2.9K,40.2K,7.7K
The American people want us to fill a seat right now—but it’s not on the Supreme Court; it’s the one in the Oval Office.,3.3K,143.8K,22.1K
Donald Trump called John McCain a “loser.”  He let Putin get away with placing bounties on the heads of our troops.  He called fallen soldiers “suckers.”  It's a pattern. And it proves just how unfit he is to be commander in chief.,2.6K,50.8K,10.6K
Donald Trump prefers to take the word of Vladimir Putin over that of the American intelligence community.,2.7K,89.1K,14.9K
Joe Biden is responsible for saving America's auto industry. And Mike Pence voted against it. So let's set the record straight.   Thank you.,5.3K,119.2K,19.2K
"If you have a pre-existing condition, the Trump administration is coming for you.",4.2K,89.2K,22.7K
"Let me be clear: A Biden-Harris Administration won't increase taxes by a dime on anyone making less than $400,000 a year.",29.6K,615.7K,103.2K
. @JoeBiden  and I believe the economy is doing well when our workers and our families are doing well. That’s why our tax plan won’t raise taxes on anyone making under $400K and will cut taxes for middle-class families.,3.1K,51.7K,9.1K
The day  @JoeBiden  asked me to serve with him was one of the most memorable days of my life. My mother—who came to the United States at the age of 19—I know would be so proud.,1.5K,50.4K,4.7K
"Donald Trump paid $750 in taxes. When I first heard about it, I literally said, “You mean $750,000?”",10.3K,157.4K,19.9K
". @KamalaHarris  is showing the American people why I chose her as my running mate. She’s smart, she’s experienced, she’s a proven fighter for the middle class. She’ll be an incredible Vice President.",23.9K,548.1K,67.3K
"Over 210,000 Americans have died. Over 7 million have contracted this disease. Nearly 30 million have filed for unemployment. One in five businesses are at risk of closing.   And this administration still doesn't have a plan.",1.6K,24.8K,6K
Trump didn’t share information about the virus because he wanted you to stay calm.   I want to ask you: how calm were you when you were hunting for toilet paper? How calm were you when your children couldn’t see their grandparents because you were afraid they could kill them?,2K,47.5K,9.7K
We can end this era of division.  We can end the hate and the fear.  We can be what we are at our best: one America.,1.8K,19.4K,4K
Taylor — Thanks for your support and for speaking out at this crucial moment in our nation’s history.  Election Day is right around the corner — are you ready for it?   http://iwillvote.com,3.7K,180.3K,28.4K
"Voting has started in Iowa! Go to http://iwillvote.com/iowa to make your plan to vote. Together, we can flip this #IASen seat and take back the Senate.",444,6.1K,1.8K
"Folks, I know a thing or two about vice presidential debates.  In 2008, I squared off against Governor Palin. And in 2012, I called out Congressman Ryan's malarkey.  I know  @KamalaHarris  will do a great job. Join me and tune in at 9 PM ET to cheer her on.",5.1K,141.8K,16.4K
Tonight’s the night. Who’s ready? We know  @KamalaHarris  is.,1.2K,13.3K,2.6K
"These families fled persecution and violence to seek safety in the land of the free.  But instead of providing refuge, the Trump Administration ripped their children away from them.  The cruelty was the point — and it's reprehensible.",2.4K,34.6K,9.3K
Arizona — in-person early voting starts today. Head to http://iwillvote.com/AZ to find all the info you need to cast your ballot.,1K,18.1K,4.7K
"Missouri — today is your last day to register to vote online, in person, or by mail.  Don’t miss your opportunity to help determine the future of this country. Head to http://iwillvote.com/MO and get registered today.",741,11.6K,3.2K
"Today is the first day of early voting, Arizona. Find out when and where you can vote at http://IWillVote.com.",469,7.4K,2.1K
"Together, we can set our nation on a new path. One where we finally live up to our highest ideals and everyone gets a fair shot to get ahead.  Let's do this: http://iwillvote.com",1.8K,15.1K,3.7K
". @JoeBiden  has a plan to build our country back better and create millions of jobs—jobs that can help working families get ahead. Joe helped manage the Recovery Act, which jumpstarted the longest stretch of job growth in our history. And he’ll do it again.",11.1K,263.7K,60.7K
"As president, I will:  - Implement nationwide mask mandates - Ensure access to regular, reliable, and free testing - Accelerate the development of treatments and vaccines  I won’t waste any time getting this virus under control.",15.1K,218.3K,32.8K
Masks save lives.,6.8K,147.5K,17.7K
"Look, folks, I'm going to be honest: we'll try pretty much anything to get you to vote this election. My team spun up this quiz to match your personality to an easy voting option. Check it out — but more importantly, vote!",2.4K,19.9K,4.5K
"Four weeks from today, voters will head to the polls to determine the outcome of the most important election of our lifetime.  We don’t have a minute to waste — and we need your help to win. Chip in:",1.5K,11.7K,2.5K
"Climate change is already here, and ignoring science won't make it go away. If we give the Trump Administration another four years, we'll lose irreplaceable time to combat it.",1.5K,33.2K,7K
"Make no mistake: if you are out of work, if your business is closed, if your child’s school is shut down, if you are seeing layoffs in your community, Donald Trump decided today that none of that matters to him.",27.7K,437.2K,100.6K
"#ImVotingFor military families, veterans, caregivers, and survivors.",973,30.2K,4.4K
The President turned his back on you.,6.6K,201.4K,56.2K
"I give you my word: If I am elected president, I will marshal the ingenuity and goodwill of this nation to turn division into unity and bring us together.",35.7K,352.1K,46.8K
"As president, I will embrace:  Hope, not fear. Peace, not violence. Generosity, not greed. Light, not darkness.   I will be a president who appeals to the best in us. Not the worst.",8.4K,190.1K,32.1K
"We fought a Civil War that would secure a Union that would seek to fulfill the promise of equality for all.  And by fits and starts, our better angels have prevailed just enough against our worst impulses to make a new and better nation.  Those better angels must prevail again.",1.3K,35.7K,6.9K
The pandemic is not a red state versus blue state issue. The virus doesn’t care where you live or what political party you belong to.  It infects us all. It will take anyone’s life. It is a virus — not a political weapon.,3K,126.9K,22.7K
I do not believe we have to choose between law and order and racial justice in America.,8.1K,286.6K,38.3K
"As president, I will send a clear, unequivocal message to the entire nation: There is no place for hate in America.  It will be given no license. It will be given no oxygen. It will be given no safe harbor.",2.4K,93K,16.7K
We are engaged once again in a battle for the soul of the nation. It’s a battle we’ve been in before and we can win again. Tune in as I deliver remarks from Gettysburg.,1.9K,20.8K,6.4K
New Mexico!  Today is the last day to register to vote!   You can also register before you early vote in person.  Make sure you're registered to vote at ,391,3.8K,1K
"Hey, Nevada!  This is your last day to register to VOTE via mail.   Let your voice be heard.   You can also register to vote online until Oct 29, when you vote early, or at the polls on Election Day.  Learn more:",287,3.3K,957
"Hey, Illinois!  Today is the last day for you to register to vote via mail!   You can also register online until Oct 18, in person until Election Day, or at the polls on Election Day.  Learn more:",264,3.4K,984
"There’s no better person to convey what’s at stake in this election than my friend,  @MichelleObama . Tune in to hear her closing argument.",2.5K,33.4K,8.6K
"I couldn’t let #WorldTeachersDay go by without celebrating the best teacher I know. Jilly, the way you’ve worked tirelessly and passionately for your students year after year continues to inspire me.",2.6K,138.1K,15.6K
Wear a mask.,30.5K,603.2K,115.6K
"Folks, I just wrapped up my NBC Town Hall where I laid out my plans to build this country back better than before. If you liked what you heard, please chip in to keep tonight's momentum going:",4.8K,26.2K,5.3K
The future is yours. I'm counting on you.,2.8K,54.4K,11K
I've taken on the Castros and Putins of the world. I let them know: it stops here. It stops with me. It stops with me as president.,9.4K,35.4K,9.4K
Roe v. Wade must remain the law of the land.,3.8K,56.1K,11.9K
Don't tell me things can't change.,1.6K,33.5K,6.6K
"As president, I'll do what I've always done in the past: bring people together.  Peaceful protesters, police officers, unions, and civil rights groups — we'll all sit down at the White House.",1.6K,22.3K,4.7K
"When I decided to run, I had three objectives:  1. Restore the soul of this country. 2. Rebuild the middle class. 3. Reunite the country.  It's the only way we can move forward.",3.5K,55.7K,12K
"More than 200,000 Americans have died. 50,000 Americans are getting the virus every day. 1,000 a day are dying. This is a national emergency.  The President should take responsibility.",1.4K,33.5K,8.9K
Listen to the scientists.,21.8K,654.8K,79.5K
I would hope that the President having gone through what he went through will communicate the right lesson to the American people: Masks matter. They save lives.,1.6K,29.9K,5.8K
I’m in Florida to discuss my plans to build back our economy better for the Hispanic community and working families. Tune in.,1.9K,20.1K,4.3K
"We are 29 days away from Election Day, & it’s the last day to register to vote in these states! Arkansas Arizona Florida Georgia Hawaii* (allows you to register on E-Day) Indiana Kentucky Mississippi Ohio Tennessee Texas  Register",333,4.4K,1.4K
http://iwillvote.com,4.1K,55.4K,11.6K
You don’t have to wait until November 3 to cast your ballot. Be an #OctoberVoter. Make an early voting plan.,603,6K,1.7K
"Today is the deadline to register to vote in several states, including Arizona, Arkansas, Florida, Georgia, Ohio, and Texas.   Take a moment now to ask friends and family in those states to check their registration at http://iwillvote.com.",1.8K,26.1K,10.2K
Imagine a future where:  - Health care is a right - We end the gun violence epidemic - We combat climate change - Our government works for everyone  It’s a future that we can build — together.,17.3K,356.4K,52.1K
The economy. Climate change. Health care. Civil rights. Racial justice. The U.S. Supreme Court. Our democracy.  They’re all on the line. Vote.,10.8K,116.4K,22.7K
It’s time we build an economy where everyone gets a fair return for their work and an equal chance to get ahead. An economy more vibrant and powerful because everyone is in on the deal.,4.4K,26.5K,6.2K
Today marks 30 days until Election Day. 30 days until we begin to restore the soul of the nation.  Chip in to power our campaign through this final stretch:,3K,22.8K,4.7K
Before we're Democrats or Republicans or independents — we're Americans.  We can't forget that.,17.7K,334.7K,40.7K
"There are only 30 days until Election Day — but in many states, you don’t have to wait until November 3rd to make your voice heard. Head to http://iwillvote.com and make a plan to vote early today.",2.6K,35.9K,8K
One month until we can call  @DrBiden  our First Lady-Elect.,18K,329.4K,31.5K
"It's time we come together.  It's time we see each other as fellow Americans, who don't just live in red states and blue states, but who live in — and love — the United States of America.  That's who we are — and there is nothing we cannot do if we do it together.",7.3K,149.1K,24.9K
"One month until Election Day. Let’s do this, America.",30.2K,1.1M,127K
"Be a patriot. Do your part.  Wearing a mask will protect you. But it will also protect those around you — your mom, your dad, your son, your daughter, your neighbor, your co-worker.  Don’t just do it for yourself. Do it for the people you love.",6.8K,268.8K,51.8K
We have to come together.,4.5K,70.6K,12.7K
"Thank you, Grand Rapids, for a great afternoon. From the virus to the economy, we face immense challenges as a nation. But if we come together and act as one America, we can and will overcome them.",2.2K,82.3K,9.5K
"I’m running as a Democrat, but I will be an American president. Whether you voted for me or against me, I will represent you.",31.5K,843.6K,82.5K
"We can, we will, and we must come together.",7.5K,289.9K,28.1K
This cannot be a partisan moment.  It must be an American moment.  We have to come together as a nation.,20K,389.4K,49.1K
"I’m delivering remarks from Grand Rapids, Michigan. Tune in.",2.3K,22.8K,4.2K
"Tonight,  @BarackObama ,  @KamalaHarris , and  @MichaelB4Jordan  are hosting a grassroots fundraiser to discuss what's at stake this November and the importance of making your voice heard at the ballot box.  Chip in to reserve your spot: https://joe.link/3l1GVvc",1.8K,36.8K,6K
"I’m happy to report that Jill and I have tested negative for COVID. Thank you to everyone for your messages of concern. I hope this serves as a reminder: wear a mask, keep social distance, and wash your hands.",27.4K,913.5K,156.6K
Jill and I send our thoughts to President Trump and First Lady Melania Trump for a swift recovery. We will continue to pray for the health and safety of the president and his family.,38.9K,966.5K,93.6K
"Donald Trump will do everything he can to distract from the fact that because of his failed COVID-19 response:  - Over 200,000 Americans have died - 26 million are on unemployment - 1 in 6 small businesses risk permanent closure  We can’t let him.",15.3K,152.1K,26.1K
"When I first ran for Senate, we put up a billboard that said, “Joe Biden: For all our families.”  It’s a motto that has guided me throughout my career.  It doesn’t matter if you’re a Democrat or Republican—I’ll be a president for all Americans, not just the ones who vote for me.",14K,162.3K,22.9K
"On Native Women's Equal Pay Day, we recognize the hard truth that Native women earn just $0.57 for every dollar a white man makes. It's unacceptable.  A Biden-Harris Administration will stand with women in Indian Country and pass legislation to close the gender wage gap.",1.8K,20.1K,3.8K
"During Filipino American History Month, we celebrate the community's immense contributions to our country — from early immigrants to the millions today, many who serve in the military or as frontline workers. As President, I'll work alongside them to protect the American people.",2.2K,53.9K,10.8K
"Three years ago today, Las Vegas was struck by tragedy when a gunman opened fire on the Route 91 Harvest Festival. It remains the deadliest mass shooting in modern U.S. history.  As we remember those we lost, we must take action to ensure it never happens again.",5.2K,221.6K,25.3K
Jill and I wish a happy Mid-Autumn Festival to all those celebrating. We join you in hoping for a future filled with peace and prosperity — and hope your festivities lead to a bountiful harvest in the year ahead.,1.7K,42.1K,4.9K
When news broke about Donald Trump’s taxes (or lack thereof)—a few of you asked me to break it down with my friend  @KatiePorterOC .   So I gave her a call:,2.2K,45.8K,18.7K
